"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2008","Bulgarien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Öffentliche Verwaltung, Verteidigung; Sozialversicherung","Tonne","84.459,06",""
"2008","Bulgarien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erziehung und Unterricht","Tonne","436.427,34",""
"2008","Bulgarien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gesundheits- und Sozialwesen","Tonne","134.765,36",""
"2008","Bulgarien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Kunst, Unterhaltung und Erholung","Tonne","18.478,98",""
"2008","Bulgarien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen Dienstleistungen","Tonne","18.037,06",""
"2008","Bulgarien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Private Haushalte mit Hauspersonal; Herstellung von Waren und Erbringung von Dienstleistungen durch Private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt","Tonne","0",""
"2008","Bulgarien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Exterritoriale Organisationen und Körperschaften","Tonne","0",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Insgesamt - alle NACE-Wirtschaftszweige","Tonne","119.022.418,9",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Land- und Forstwirtschaft, Fischerei","Tonne","8.397.091,66",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Bergbau und Gewinnung von Steinen und Erden","Tonne","10.042.783,76",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verarbeitendes Gewerbe/Herstellung von Waren","Tonne","27.347.864,01",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Energieversorgung","Tonne","56.936.062,74",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen","Tonne","5.328.694,62",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Baugewerbe/Bau","Tonne","1.558.316,09",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Handel; Instandhaltung und Reparatur von Kraftfahrzeugen","Tonne","722.272,71",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verkehr und Lagerei","Tonne","6.575.038,52",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gastgewerbe/Beherbergung und Gastronomie","Tonne","99.594,25",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Information und Kommunikation","Tonne","87.123,98",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von Finanz- und Versicherungsdienstleistungen","Tonne","54.198,63",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Grundstücks- und Wohnungswesen","Tonne","400.880,88",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen","Tonne","128.587,86",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Tonne","248.457,45",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Öffentliche Verwaltung, Verteidigung; Sozialversicherung","Tonne","205.527,34",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erziehung und Unterricht","Tonne","253.517,69",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gesundheits- und Sozialwesen","Tonne","515.394,33",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Kunst, Unterhaltung und Erholung","Tonne","69.649,78",""
"2008","Tschechien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen Dienstleistungen","Tonne","51.362,6",""
