"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Mining and quarrying","Tonne","2,380,794.51",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Manufacturing","Tonne","6,758,233.69",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Electricity, gas, steam and air conditioning supply","Tonne","21,454,962.42",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Water supply; sewerage, waste management and remediation activities","Tonne","2,437,958.5",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Construction","Tonne","1,527,717.21",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","1,122,633.72",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Transportation and storage","Tonne","48,748,952.06",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Accommodation and food service activities","Tonne","133,657.02",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Information and communication","Tonne","131,625.79",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Financial and insurance activities","Tonne","75,525.11",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Real estate activities","Tonne","111,118.35",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Professional, scientific and technical activities","Tonne","185,951.3",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Administrative and support service activities","Tonne","280,780.16",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Public administration and defence; compulsory social security","Tonne","289,388.46",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Education","Tonne","127,182.9",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Human health and social work activities","Tonne","220,112.37",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Arts, entertainment and recreation","Tonne","66,768.39",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Other service activities","Tonne","97,044.93",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
"2008","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Activities of extraterritorial organisations and bodies","Tonne","0",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Total - all NACE activities","Tonne","830,219,150.29",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Agriculture, forestry and fishing","Tonne","72,073,920.37",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Mining and quarrying","Tonne","12,852,808.93",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Manufacturing","Tonne","189,981,547.77",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Electricity, gas, steam and air conditioning supply","Tonne","363,279,658.7",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Water supply; sewerage, waste management and remediation activities","Tonne","25,968,851.75",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Construction","Tonne","8,829,005.88",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","17,185,608.73",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Transportation and storage","Tonne","92,947,795.04",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Accommodation and food service activities","Tonne","3,517,138.44",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Information and communication","Tonne","4,112,210.68",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Financial and insurance activities","Tonne","2,022,313.92",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Real estate activities","Tonne","1,147,619.7",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Professional, scientific and technical activities","Tonne","8,557,222.3",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Administrative and support service activities","Tonne","1,145,251.41",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Public administration and defence; compulsory social security","Tonne","7,506,009.26",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Education","Tonne","4,992,891",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Human health and social work activities","Tonne","6,971,152.41",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Arts, entertainment and recreation","Tonne","2,476,684.29",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Other service activities","Tonne","4,651,459.7",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
"2008","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Activities of extraterritorial organisations and bodies","Tonne","0",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Total - all NACE activities","Tonne","19,507,867.35",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Agriculture, forestry and fishing","Tonne","1,440,828.09",""
"2008","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent)","Mining and quarrying","Tonne","122,247.41",""
