"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2012","Europäische Union - 27 Länder (2007-2013)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","86.844,95",""
"2012","Europäische Union - 25 Länder (2004-2006)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","84.300,52",""
"2012","Europäische Union - 15 Länder (1995-2004)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","74.327,16",""
"2012","Belgien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.438,18",""
"2012","Bulgarien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","535,32",""
"2012","Tschechien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.321,06",""
"2012","Dänemark","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.607,00",""
"2012","Deutschland (bis 1990 früheres Gebiet der BRD)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","12.506,77",""
"2012","Estland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","246,00",""
"2012","Irland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.253,24",""
"2012","Griechenland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","685,00",""
"2012","Spanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.812,61",""
"2012","Frankreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","19.052,00",""
"2012","Kroatien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","452,00",""
"2012","Italien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.251,93",""
"2012","Zypern","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","56,92",""
"2012","Lettland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","393,10",""
"2012","Litauen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","729,20",""
"2012","Luxemburg","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","188,30",""
"2012","Ungarn","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","760,00",""
"2012","Malta","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","15,59",""
"2012","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","3.985,00",""
"2012","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.955,62",""
"2012","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.520,35",""
"2012","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.497,55",""
"2012","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.009,10",""
"2012","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","460,06",""
"2012","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","471,08",""
"2012","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","901,39",""
"2012","Schweden","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.443,58",""
"2012","Vereinigtes Königreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","9.749,00",""
"2012","Island","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","72,80",""
"2012","Schweiz","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2012","Montenegro","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","85,00",""
"2012","Nordmazedonien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","251,00",""
"2012","Albanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2012","Serbien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","921,00","e"
"2012","Türkei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","14.022,35",""
"2012","Bosnien und Herzegowina","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","446,00","e"
"2012","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2013","Europäische Union - 28 Länder","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","87.734,43",""
"2013","Europäische Union - 27 Länder (2007-2013)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","87.292,43",""
"2013","Europäische Union - 25 Länder (2004-2006)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","84.684,48",""
"2013","Europäische Union - 15 Länder (1995-2004)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","74.598,78",""
"2013","Belgien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.441,32",""
"2013","Bulgarien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","585,55",""
"2013","Tschechien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.332,08",""
"2013","Dänemark","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.583,00",""
"2013","Deutschland (bis 1990 früheres Gebiet der BRD)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","12.685,99",""
"2013","Estland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","261,40",""
"2013","Irland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.309,05",""
"2013","Griechenland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","653,00",""
"2013","Spanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.802,22",""
"2013","Frankreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","19.129,00",""
"2013","Kroatien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","442,00",""
"2013","Italien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.249,29",""
"2013","Zypern","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","57,08",""
"2013","Lettland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","406,49",""
"2013","Litauen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","713,50",""
"2013","Luxemburg","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","198,24",""
"2013","Ungarn","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","782,00",""
"2013","Malta","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","15,22",""
"2013","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","4.090,00",""
"2013","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.958,28",""
"2013","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.589,54",""
"2013","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.470,50",""
"2013","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.022,40",""
"2013","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","460,58",""
"2013","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","467,82",""
"2013","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","903,36",""
"2013","Schweden","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.443,52",""
"2013","Vereinigtes Königreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","9.682,00",""
"2013","Island","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","73,20",""
"2013","Schweiz","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2013","Montenegro","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","89,00",""
"2013","Nordmazedonien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","238,00",""
"2013","Albanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2013","Serbien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","913,00",""
"2013","Türkei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","14.532,85",""
"2013","Bosnien und Herzegowina","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","447,00","e"
"2013","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2014","Europäische Union - 28 Länder","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","88.405,62",""
"2014","Europäische Union - 27 Länder (2007-2013)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","87.964,62",""
"2014","Europäische Union - 25 Länder (2004-2006)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","85.333,35",""
"2014","Europäische Union - 15 Länder (1995-2004)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","75.066,48",""
"2014","Belgien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.477,24",""
"2014","Bulgarien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","562,36",""
"2014","Tschechien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.373,07",""
"2014","Dänemark","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.553,00",""
"2014","Deutschland (bis 1990 früheres Gebiet der BRD)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","12.742,19",""
"2014","Estland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","264,70",""
"2014","Irland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.243,05",""
"2014","Griechenland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","659,00",""
"2014","Spanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.078,73",""
"2014","Frankreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","19.271,00",""
"2014","Kroatien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","441,00",""
"2014","Italien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.125,42",""
"2014","Zypern","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","59,54",""
"2014","Lettland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","422,02",""
"2014","Litauen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","736,60",""
"2014","Luxemburg","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","201,15",""
"2014","Ungarn","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","802,00",""
"2014","Malta","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","14,88",""
"2014","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","4.169,00",""
"2014","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.961,20",""
"2014","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.660,27",""
"2014","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.548,61",""
"2014","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.068,90",""
"2014","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","468,25",""
"2014","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","465,54",""
"2014","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","907,40",""
"2014","Schweden","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.436,49",""
"2014","Vereinigtes Königreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","9.693,00",""
"2014","Island","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","73,70",""
"2014","Schweiz","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2014","Montenegro","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","94,00",""
"2014","Nordmazedonien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","242,00",""
"2014","Albanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","499,69",""
"2014","Serbien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","920,00",""
"2014","Türkei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","14.244,67",""
"2014","Bosnien und Herzegowina","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","444,00","e"
"2014","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","261,69",""
"2015","Europäische Union - 28 Länder","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","89.138,27",""
"2015","Europäische Union - 27 Länder (2007-2013)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","88.697,27",""
